"DRAGU GEORGE";"PARTIDUL DEMOCRAT LIBERAL";"S1 Braila";13793
"SUSANU ION";"PARTIDUL NATIONAL LIBERAL";"S1 Braila";7533
"ILIE LASCU";"PARTIDUL ROMÂNIA MARE";"S1 Braila";3412
"MARIN GHEORGHE";"PARTIDUL VERDE ECOLOGIST";"S1 Braila";2156
"BECA ZOITA";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S1 Braila";2068
"BARABASI VICTOR";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S1 Braila";178
"DRAGOMIR VIOREL-MARIAN";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S2 Braila";23928
"MITROI NICOLAE";"PARTIDUL DEMOCRAT LIBERAL";"S2 Braila";11177
"CIBU CONSTANTIN-SEVER";"PARTIDUL NATIONAL LIBERAL";"S2 Braila";8940
"POPA VALERIU";"PARTIDUL ROMÂNIA MARE";"S2 Braila";2091
"PAUN DAN";"PARTIDUL VERDE ECOLOGIST";"S2 Braila";1894
"TUDOR BENEDICT";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S2 Braila";1242
"PAPP ATTILA";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S2 Braila";147
"RASALIU MARIAN-IULIAN";"PARTIDUL DEMOCRAT LIBERAL";"S1 Brasov";16736
"MUNTEAN CATALIN-GEORGE";"PARTIDUL NATIONAL LIBERAL";"S1 Brasov";16581
"LEONTE CATALIN";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S1 Brasov";8714
"GERGELY JANOS";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S1 Brasov";3264
"SAS ADRIAN-IOAN";"PARTIDUL ROMÂNIA MARE";"S1 Brasov";1251
"DRAGAN AUREL";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S1 Brasov";650
"IANCU VESPASIAN-AUGUST1N";"PARTIDUL VERDE ECOLOGIST";"S1 Brasov";559
"VESTEA MIHAIL";"PARTIDUL DEMOCRAT LIBERAL";"S2 Brasov";16257
"CORLATEAN TITUS";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S2 Brasov";14606
"TANASESCU CARMEN-FELICIA";"PARTIDUL NATIONAL LIBERAL";"S2 Brasov";9525
"KISS IOSIF";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S2 Brasov";3854
"DOBRIN NICOLAE";"PARTIDUL ROMÂNIA MARE";"S2 Brasov";1438
"FL1UNDRA IONEL";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S2 Brasov";706
"CHIVAREAN RADU";"PARTIDUL VERDE ECOLOGIST";"S2 Brasov";556
"CORNEA GHEORGHE-DANIEL";"PARTIDUL POPULAR SI AL PROTECTIEI SOCIALE";"S2 Brasov";182
"NECULAIE IOAN";"PARTIDUL DEMOCRAT LIBERAL";"S3 Brasov";15452
"PRUNARIU DUMITRU DORIN";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S3 Brasov";12203
"GHISE IOAN";"PARTIDUL NATIONAL LIBERAL";"S3 Brasov";6580
"GABOR IMRE";"UNRJNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S3 Brasov";3872
"IORGA NICOLAE-MARIAN";"PARTIDUL ROMÂNIA MARE";"S3 Brasov";2053
"BUTAN DUMITRU";"PARTIDUL VERDE ECOLOGIST";"S3 Brasov";1408
"SANDA CORNEL-ION";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S3 Brasov";602
"STAICU DUMITRU-FLORIAN";"PARTIDUL DEMOCRAT LIBERAL";"S4 Brasov";19252
"CIUREA ALEXANDRU- VLADIMIR";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S4 Brasov";10169
"VASILESCU LAWRENTZIA- BEATRICE-DENISA";"PARTIDUL NATIONAL LIBERAL";"S4 Brasov";6236
"SZENTE LADISLAU";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S4 Brasov";3040
"CÎRNATIU TITUS-CLAUDIU";"PARTIDUL ROMÂNIA MARE";"S4 Brasov";1711
"BÂGIU OVIDIU-ILIE";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S4 Brasov";573
"POPESCU AURELIAN";"PARTIDUL POPULAR SI AL PROTECTIEI SOCIALE";"S4 Brasov";465
"CAZACU CORNELIA";"PARTIDUL DEMOCRAT LIBERAL";"S1 Bucuresti";16181
"NICOLAESCU SERGIU-FLORIN";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S1 Bucuresti";12728
"AVRAMESCU ARIN-ALEXANDRU";"PARTIDUL NATIONAL LIBERAL";"S1 Bucuresti";8740
"COJOCARU CONSTANTIN";"PARTIDUL ROMÂNIA MARE";"S1 Bucuresti";1738
"DAOGARU GHEORGHE- OCTAVIAN";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S1 Bucuresti";1021
"CONSTANTINESCU MIHAI-DAN";"PARTIDUL VERDE ECOLOGIST";"S1 Bucuresti";662
"KOVER GHEORGHE";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S1 Bucuresti";194
"POPESCU IONEL";"PARTIDUL DEMOCRAT LIBERAL";"S2 Bucuresti";10702
"ANTONESCU GEORGE-CRIN- LAURENTIU";"PARTIDUL NATIONAL LIBERAL";"S2 Bucuresti";9159
"THEODORESCU EMIL-RAZVAN";"ALIANTA POLITICA PARTIDUL SOCIAL DEMOCRAT + PARTIDUL CONSERVATOR";"S2 Bucuresti";8465
"ANA-DRÂGHIA GHEORGHE-DORU";"PARTIDUL ROMÂNIA MARE";"S2 Bucuresti";1087
"DICHISEANU IOAN";"PARTIDUL NOUA GENERATIE -CRESTIN DEMOCRAT";"S2 Bucuresti";670
"MATEESCU FLORIN";"PARTIDUL VERDE ECOLOGIST";"S2 Bucuresti";332
"CSUTAK STEFAN-FRANCISC";"UNIUNEA DEMOCRATA MAGHIARA DIN ROMÂNIA";"S2 Bucuresti";161
"MITROI FLOREA";"PARTIDUL POPULAR SI AL PROTECTIEI SOCIALE";"S2 Bucuresti";155
